Timestamp,What is your age group?,What is your gender?,Where are you from?,What is your preferred language?,Do you face difficulties understanding instructions due to language barriers?,Which of the following do you find most challenging around Al-Haram? (Select all that apply),How do you usually get information or help around Al-Haram?,"Have you ever felt lost, confused, or stressed while navigating Al-Haram or nearby areas?",Are you comfortable using touch-screen devices?,Have you used any digital guide or app during Hajj or Umrah before?,What would make a digital guide easier for you to use? (Select all that apply),Which features would you find most useful in AlHaram Guide? (Select all that apply),Would you use an AI-powered information kiosk inside or around Al-Haram?,In which situations would you most likely use AlHaram Guide?,Do you think AlHaram Guide would reduce confusion and improve your experience?,How important is 24/7 availability of guidance services for pilgrims?,Do you have any suggestions or additional features you would like to see?
1/5/2026 20:09:21,18 - 30,Female,Saudi Arabia,Arabic,Yes,"Understanding ritual steps, Finding entrances or exits",Asking staff or volunteers,Yes,Yes,No,"Large text and icons, Simple steps","General guidance for rituals and prayers, Automatic language detection",Yes,When needing directions,Yes,Very Important,
1/5/2026 20:29:58,18 - 30,Female,Saudi Arabia ,"Arabic, English",Sometimes,"Finding entrances or exits, Navigating crowded areas",Asking staff or volunteers,Yes,Yes,No,"Large text and icons, Simple steps, Visual maps","General guidance for rituals and prayers, Interactive maps and directions, Emergency and safety assistance",Maybe,When needing directions,Yes,Very Important,
1/5/2026 20:30:44,18 - 30,Female,Saudi,English,No,"Understanding ritual steps, Finding entrances or exits, Finding prayer areas, Navigating crowded areas, Locating services (restrooms, Zamzam, medical help), Understanding signs or instructions",Mobile applications,No,Yes,Yes,"Large text and icons, Voice assistance, Visual maps",General guidance for rituals and prayers,No,When needing directions,Yes,Very Important,
1/5/2026 20:31:16,18 - 30,Female,Riyadh,"Arabic, English",No,"Locating services (restrooms, Zamzam, medical help)",Asking staff or volunteers,Sometimes,Yes,No,"Simple steps, Multiple languages, Visual maps","Automatic language detection, Interactive maps and directions, Prayer times and religious information",Maybe,When needing directions,Yes,Very Important,
1/5/2026 20:33:05,18 - 30,Female,Saudi e,"Arabic, English",Sometimes,"Finding entrances or exits, Navigating crowded areas, Locating services (restrooms, Zamzam, medical help)",Asking staff or volunteers,Sometimes,Yes,No,"Simple steps, Visual maps","AI chat assistant (text or voice), Automatic language detection, Interactive maps and directions, Emergency and safety assistance",Yes,When needing directions,Yes,Important,
1/5/2026 20:33:42,18 - 30,Female,Saudi,"Arabic, English",Sometimes,"Understanding ritual steps, Locating services (restrooms, Zamzam, medical help), Understanding signs or instructions",Asking staff or volunteers,Sometimes,Yes,No,"Large text and icons, Voice assistance, Simple steps, Multiple languages, Visual maps","Interactive maps and directions, Prayer times and religious information, Emergency and safety assistance",Maybe,When needing directions,Yes,Very Important,
1/5/2026 20:40:43,18 - 30,Female,Saudi Arabia ,"Arabic, English",No,"Finding prayer areas, Locating services (restrooms, Zamzam, medical help)",Asking staff or volunteers,No,Maybe,No,"Voice assistance, Simple steps, Multiple languages, Visual maps","General guidance for rituals and prayers, Interactive maps and directions, Prayer times and religious information, Emergency and safety assistance",No,When needing directions,Yes,Very Important,
1/5/2026 20:42:36,18 - 30,Female,Madinah,"Arabic, English",Sometimes,"Finding entrances or exits, Finding prayer areas, Navigating crowded areas",I often feel unsure where to ask,Yes,Yes,No,"Simple steps, Multiple languages, Visual maps","General guidance for rituals and prayers, AI chat assistant (text or voice), Interactive maps and directions, Prayer times and religious information",Yes,When needing directions,Yes,Very Important,
1/5/2026 20:44:24,18 - 30,Female,Saudi,"Arabic, English",Sometimes,"Understanding ritual steps, Finding entrances or exits, Finding prayer areas, Navigating crowded areas, Locating services (restrooms, Zamzam, medical help), Understanding signs or instructions",I often feel unsure where to ask,Sometimes,Yes,No,"Large text and icons, Simple steps, Visual maps","General guidance for rituals and prayers, Interactive maps and directions, Prayer times and religious information, Emergency and safety assistance",Yes,In emergencies,Maybe,Very Important,
1/5/2026 21:28:21,18 - 30,Female,Saudi arabia ,"Arabic, English",Sometimes,"Finding entrances or exits, Finding prayer areas, Navigating crowded areas, Locating services (restrooms, Zamzam, medical help), Understanding signs or instructions",Asking staff or volunteers,Yes,Yes,No,"Voice assistance, Simple steps, Multiple languages, Visual maps","General guidance for rituals and prayers, AI chat assistant (text or voice), Prayer times and religious information, Emergency and safety assistance",Yes,When needing directions,Yes,Very Important,
