interaction_id,timestamp,hour,language,query_type,location,age_group,session_duration_sec,response_time_sec,satisfaction
0793aa41-e8b8-4df5-a174-8b3217d016d3,2026-03-25 11:54:45.511282,9,English,Ritual Guidance,Gate 25,18-30,135,0.85,3
21755711-6249-4b22-ac79-4c634816e875,2026-04-04 01:20:22.297518,18,English,Navigation/Maps,Safa-Marwa,under 18,41,0.73,3
fedd2925-a5c7-4d9e-8425-2c51e694c708,2026-04-09 09:03:01.150167,5,English,Prayer Times,Zamzam Station,18-30,7,1.62,4
4cfc4289-2b5e-47a2-a0e1-74fb30d09773,2026-04-05 06:35:59.127196,4,Turkish,Emergency Assistance,Gate 15,18-30,90,1.35,3
800704d1-3c0f-4066-95be-e9a8fc38ed43,2026-04-09 18:56:21.162748,15,Malayalam,Navigation/Maps,Gate 5,18-30,55,1.4,4
fd45af4f-fc46-45fb-8420-60b7b1cd8fcb,2026-03-27 02:03:23.180719,1,Arabic,Ritual Guidance,Hotel Lobby,18-30,157,2.93,4
aedbf206-5050-4a54-a02c-6939886c704d,2026-04-06 13:40:31.787417,20,English,Emergency Assistance,Mataf Area,18-30,10,2.26,2
958480c3-0e40-4c58-9cf9-2f2af6774f59,2026-04-09 10:05:26.875329,6,Arabic,Ritual Guidance,Gate 5,31-45,9,2.67,4
2836caf8-0688-4dbc-bc98-c8de6457a7c6,2026-04-14 20:31:07.392188,8,Arabic,Emergency Assistance,Gate 15,18-30,33,1.02,4
a2cf438f-6695-4253-ba0e-ef72b1d53b2c,2026-03-25 11:45:45.287333,11,French,Prayer Times,Gate 15,18-30,15,1.11,4
4a0f6c8b-81a5-4200-8984-0b5dd8872569,2026-04-06 20:16:32.957916,15,Arabic,General Information,Zamzam Station,18-30,6,1.31,5
060d28f1-b79a-4ad5-8d3a-6f5b5f688350,2026-04-13 05:10:42.003631,8,Arabic,Emergency Assistance,Mataf Area,18-30,20,0.67,5
26a3c3da-f492-41d9-b948-a142c8603031,2026-04-12 14:48:55.786419,11,English,Prayer Times,Gate 23,18-30,69,1.49,5
09417f0c-7bca-44fc-a08e-6564ca6f3c60,2026-04-04 00:28:45.753361,6,Arabic,Ritual Guidance,Gate 23,31-45,32,1.85,5
bf7d93a8-8d97-48e7-b7ec-23a3b621a74e,2026-03-28 01:25:50.257065,15,Arabic,Prayer Times,Mataf Area,18-30,5,2.99,4
de65cf9e-e541-4fef-8816-b01bd5dc8501,2026-03-23 12:26:36.705015,15,Arabic,Ritual Guidance,Gate 5,18-30,8,0.9,5
af3bacc9-db6a-41dd-b4a2-e97daa685042,2026-04-11 23:56:09.500678,4,English,Navigation/Maps,Hotel Lobby,18-30,133,2.93,5
f02e125c-47c2-4ce8-8a56-71667399e923,2026-04-14 17:25:22.063415,23,Arabic,Prayer Times,Zamzam Station,31-45,74,2.42,4
255bfc4c-6a53-4797-8072-505cb9b1207c,2026-03-20 16:22:52.029214,8,Arabic,Ritual Guidance,Gate 1,46-60,5,2.69,4
3d8efd46-c6a0-4edd-ae60-52a115bd46d9,2026-04-02 11:40:36.215945,17,Arabic,Ritual Guidance,Gate 5,31-45,26,1.25,5
28df8dfe-8467-47e1-9fdd-5ed3e1ca34b6,2026-03-23 19:51:48.389075,5,English,Ritual Guidance,Gate 15,18-30,30,2.45,4
39e7aec6-0768-41c1-a536-6b00cfbca29c,2026-03-20 14:59:00.170589,2,Arabic,Navigation/Maps,Gate 1,18-30,108,1.41,5
3e1b0b03-bd20-4512-9185-23ba2a362ddf,2026-03-19 12:51:54.219278,7,Urdu,Ritual Guidance,Gate 23,31-45,48,2.87,2
cd01eb9a-8dee-4869-be41-75a0f3a29eb8,2026-04-02 20:40:41.410779,8,Arabic,Ritual Guidance,Zamzam Station,31-45,33,0.82,4
deb04ffd-2a36-408d-bf4f-159b43fa2a32,2026-04-12 07:26:16.495433,14,Arabic,Ritual Guidance,Safa-Marwa,46-60,9,2.82,5
7b6406de-6678-4be6-9876-36150b634bb2,2026-04-13 13:07:32.640675,23,English,Prayer Times,Safa-Marwa,above 60,67,2.12,4
cac98c98-1e5c-4f28-9baa-41abf2f69ec7,2026-03-22 18:05:01.980362,22,Arabic,Ritual Guidance,Gate 23,18-30,101,0.55,4
7dba58ae-0482-4c40-8b81-92e2a0ff9429,2026-04-12 20:27:20.675678,15,English,Ritual Guidance,Gate 1,18-30,114,2.76,5
ed42a41c-6e28-4fae-aff9-de4da51ab983,2026-03-29 02:32:35.246553,4,Arabic,Ritual Guidance,Hotel Lobby,18-30,9,0.83,5
c2e11768-4548-4cd8-b838-874fcea71408,2026-03-22 07:48:39.826897,3,English,Navigation/Maps,Hotel Lobby,31-45,17,0.98,2
c2f93505-65ff-473b-9b39-97fd15fd3369,2026-03-21 14:33:51.841185,10,Arabic,Navigation/Maps,Hotel Lobby,31-45,14,0.64,5
83a0e3f0-634e-4dc2-a8e4-9fa0940fccf4,2026-04-04 22:14:30.570204,20,English,Ritual Guidance,Mataf Area,31-45,19,0.77,3
b9b44117-dd5d-421c-a769-02c6a81a4edd,2026-03-29 08:51:34.648689,7,Arabic,Ritual Guidance,Gate 15,18-30,35,1.12,5
db789fec-da19-4e8b-bb7a-16855f6b5f01,2026-03-28 12:42:17.354045,5,Arabic,General Information,Zamzam Station,18-30,72,2.13,4
8a8f48e9-e622-4c2d-890e-3a436715c0c6,2026-04-03 03:52:43.109740,4,Arabic,Ritual Guidance,Gate 23,18-30,195,1.71,3
87548297-bc0c-4283-b741-82ea4455216f,2026-03-23 12:46:56.250156,19,Arabic,Ritual Guidance,Safa-Marwa,under 18,9,1.48,5
0df08a47-0825-428d-a576-6380c5ac6f7c,2026-03-24 12:24:49.230101,0,Urdu,Ritual Guidance,Zamzam Station,18-30,76,1.72,3
cf63bae6-89fa-4302-bb8d-ae831d02b07a,2026-04-01 10:45:11.491746,17,Arabic,Ritual Guidance,Zamzam Station,18-30,58,1.28,2
1d54fba5-39ec-4c7e-a445-93cbf1389060,2026-03-20 20:39:52.083459,19,Arabic,General Information,Zamzam Station,18-30,5,2.9,2
8191db32-a6c0-4c89-826e-057bb18adc82,2026-03-23 15:12:57.064426,9,Arabic,Prayer Times,Gate 23,18-30,5,2.85,4
098a7587-b695-4a90-8155-bfc65e0ff481,2026-04-13 07:51:27.005214,20,English,Ritual Guidance,Gate 5,18-30,43,1.96,4
701afa33-7d13-46a5-b7c2-2b654e2c1673,2026-03-22 05:02:10.023015,8,French,Ritual Guidance,Mataf Area,18-30,5,1.49,5
7cdfb618-e504-4239-aa6b-9b0e7e37c750,2026-04-02 16:20:09.718541,8,Arabic,Navigation/Maps,Gate 5,under 18,17,2.05,4
f58e3185-2bc6-46a3-ab2a-2d5f678b7ea2,2026-04-13 14:19:24.940111,18,Arabic,Navigation/Maps,Zamzam Station,18-30,45,2.83,5
6acf8b74-1c4e-4e09-b75f-3f0fa97eb147,2026-04-08 10:37:21.029155,21,Turkish,Navigation/Maps,Gate 15,18-30,28,1.86,4
f12d0f80-9451-42a5-954f-5cfb701ae4ac,2026-04-09 11:57:56.598175,5,Bengali,Emergency Assistance,Zamzam Station,under 18,56,2.54,4
07e18e1a-acff-476d-b81f-c686ce0a7150,2026-04-11 01:12:36.385227,18,English,General Information,Gate 15,18-30,37,2.72,5
